Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
242,Quinten Post,25,GSW,PF,30,16,18.9,2.9,7.0,.421,1.5,4.5,.331,1.4,2.4,.589,.529,0.5,0.6,.778,1.1,3.4,4.5,1.6,0.6,0.6,0.8,2.0,7.8,,postqu01
243,Daniel Gafford,27,DAL,C,20,13,20.9,2.9,4.8,.600,0.0,0.0,,2.9,4.8,.600,.600,2.0,2.6,.784,2.0,3.9,5.8,1.1,0.9,1.5,1.4,2.7,7.7,,gaffoda01
244,Buddy Hield,33,GSW,SG,29,3,17.9,2.8,6.8,.416,1.4,4.4,.326,1.4,2.3,.588,.523,0.6,0.6,.944,0.7,1.8,2.5,1.5,0.8,0.1,1.1,1.3,7.7,,hieldbu01
245,Danny Wolf,21,BRK,PF,14,0,18.0,2.6,7.0,.378,1.2,3.2,.378,1.4,3.8,.377,.464,1.2,1.4,.850,0.8,3.2,4.0,1.8,0.4,0.2,1.5,1.1,7.7,,wolfda01
246,Precious Achiuwa,26,SAC,C,23,10,19.7,3.2,6.0,.525,0.3,0.9,.333,2.9,5.1,.559,.550,1.0,2.0,.468,2.0,3.5,5.4,1.0,0.7,0.4,0.5,1.7,7.6,,achiupr01
247,Andre Drummond,32,PHI,C,27,13,21.7,3.0,5.7,.526,0.6,1.3,.417,2.4,4.4,.559,.575,1.1,1.7,.630,3.7,6.1,9.7,0.9,0.6,1.0,0.8,2.1,7.6,,drumman01
248,Daniss Jenkins,24,DET,PG,24,6,16.4,2.8,6.5,.433,0.8,2.3,.345,2.0,4.3,.480,.494,1.1,1.5,.771,0.7,1.2,1.9,3.0,0.8,0.0,1.3,1.4,7.6,,jenkida01
249,Jared McCain,21,PHI,SG,19,1,19.7,2.7,7.8,.351,1.3,3.8,.333,1.5,4.0,.368,.432,0.8,1.0,.842,0.2,2.4,2.5,2.1,1.0,0.0,0.9,1.3,7.6,,mccaija01
250,Nick Smith Jr.,21,LAL,SG,12,1,15.8,2.9,6.7,.438,1.3,3.3,.410,1.6,3.4,.463,.538,0.4,0.7,.625,0.1,1.1,1.2,1.3,0.7,0.2,1.1,1.1,7.6,,smithni01
251,Jamaree Bouyea,26,PHO,PG,13,0,15.1,3.1,5.1,.606,0.9,2.0,.462,2.2,3.1,.700,.697,0.5,0.5,.857,0.3,1.4,1.7,1.7,0.6,0.5,0.4,0.6,7.5,,bouyeja01
252,Bruce Brown,29,DEN,SG,29,1,24.4,2.9,6.2,.467,0.6,1.6,.340,2.3,4.6,.511,.511,1.1,1.3,.816,1.1,3.1,4.2,2.0,1.0,0.3,1.0,2.4,7.4,,brownbr01
253,Vince Williams Jr.,25,MEM,PG,22,11,21.9,2.5,7.5,.337,1.2,4.3,.277,1.4,3.3,.417,.416,1.1,1.4,.800,0.8,3.4,4.2,4.9,0.8,0.5,2.1,2.1,7.4,,willivi01
